,individual,loss
19,OSBS_contrib2436,0.49562922
20,OSBS_contrib2447,0.8632614
23,OSBS_contrib2456,0.67749655
26,OSBS_contrib2461,0.52634805
27,OSBS_contrib2463,0.48918718
30,OSBS_contrib5953,0.7066585
31,OSBS_contrib5956,0.6404978
32,OSBS_contrib5963,0.86750734
33,OSBS_contrib5964,0.78953755
34,OSBS_contrib5965,0.6021231
38,OSBS_contrib5983,0.49091828
42,OSBS_contrib2466,0.7124721
53,OSBS_contrib5988,0.5630528
58,OSBS_contrib2473,0.51617986
61,OSBS_contrib5984,0.8980156
62,OSBS_contrib6001,0.99568045
3,OSBS_contrib2474,0.7318598
9,OSBS_contrib2499,0.63829815
10,OSBS_contrib5987,0.56786543
11,OSBS_contrib5993,0.57774824
12,OSBS_contrib5995,0.50393015
19,OSBS_contrib6027,0.5035294
24,OSBS_contrib6020,0.6050514
30,OSBS_contrib6007,0.921731
36,OSBS_contrib2531,0.56722814
37,OSBS_contrib6029,0.7742444
38,OSBS_contrib2511,0.50534284
43,OSBS_contrib6014,0.94358534
44,OSBS_contrib6015,0.9435811
45,OSBS_contrib6017,0.97060055
46,OSBS_contrib6021,0.5181164
47,OSBS_contrib6030,0.71804184
49,OSBS_contrib6003,0.49497443
58,OSBS_contrib6041,0.48826584
59,OSBS_contrib7349,0.48826584
60,OSBS_contrib7350,0.48826584
9,OSBS_contrib2560,0.61009955
10,OSBS_contrib2562,0.49307403
11,OSBS_contrib2566,0.6182406
13,OSBS_contrib6053,0.9202171
14,OSBS_contrib2552,0.49574468
16,OSBS_contrib2705,0.5004257
25,OSBS_contrib6078,0.5096953
47,OSBS_contrib2636,0.62047327
50,OSBS_contrib2669,0.5364769
53,OSBS_contrib2683,0.9190854
55,OSBS_contrib2693,0.5534925
57,OSBS_contrib2703,0.8388026
58,OSBS_contrib2704,0.9720642
59,OSBS_contrib6072,0.97864455
60,OSBS_contrib6074,0.9768534
61,OSBS_contrib6077,0.81903887
63,OSBS_contrib6086,0.61310375
0,OSBS_contrib6093,0.88332516
8,OSBS_contrib7351,0.6130236
18,OSBS_contrib6145,0.50270236
19,OSBS_contrib6148,0.87787336
20,OSBS_contrib2739,0.77649164
24,OSBS_contrib2706,0.5472446
25,OSBS_contrib6101,0.54726666
33,OSBS_contrib6108,0.4983532
37,OSBS_contrib2722,0.51226074
38,OSBS_contrib6132,0.51680416
42,OSBS_contrib6142,0.5032882
43,OSBS_contrib6146,0.5032882
44,OSBS_contrib2720,0.7240693
45,OSBS_contrib2723,0.5545537
47,OSBS_contrib2735,0.8548953
49,OSBS_contrib6071,0.8383464
52,OSBS_contrib6119,0.57110995
53,OSBS_contrib6120,0.57109946
57,OSBS_contrib6131,0.76666945
59,OSBS_contrib6147,0.8181876
60,OSBS_contrib6152,0.8548992
61,OSBS_contrib6153,0.93507135
62,OSBS_contrib2767,0.512202
9,OSBS_contrib2771,0.5548942
19,OSBS_contrib6264,0.5217865
24,OSBS_contrib2711,0.49662602
25,OSBS_contrib6263,0.52415985
28,OSBS_contrib6180,0.9692002
30,OSBS_contrib2747,0.7630325
31,OSBS_contrib2752,0.6826368
32,OSBS_contrib2756,0.78170806
33,OSBS_contrib2765,0.49663407
35,OSBS_contrib6157,0.8407558
36,OSBS_contrib6164,0.51948696
37,OSBS_contrib6166,0.69582456
39,OSBS_contrib6172,0.56381464
40,OSBS_contrib6173,0.56381786
41,OSBS_contrib6178,0.68629825
45,OSBS_contrib6229,0.5121454
46,OSBS_contrib6230,0.5121454
47,OSBS_contrib6231,0.81108373
54,OSBS_contrib6247,0.73168814
55,OSBS_contrib6248,0.73168814
56,OSBS_contrib6249,0.93646955
57,OSBS_contrib6250,0.7752189
59,OSBS_contrib6265,0.9415737
61,OSBS_contrib2772,0.58163285
62,OSBS_contrib2794,0.51085806
63,OSBS_contrib6289,0.51085806
0,OSBS_contrib2806,0.49595693
5,OSBS_contrib6268,0.7143382
15,OSBS_contrib2790,0.7165525
17,OSBS_contrib2804,0.4892618
18,OSBS_contrib6276,0.514477
20,OSBS_contrib2797,0.89328796
24,OSBS_contrib2787,0.68594843
25,OSBS_contrib2791,0.68327326
26,OSBS_contrib2795,0.88131243
27,OSBS_contrib2801,0.8114398
29,OSBS_contrib6267,0.6527193
30,OSBS_contrib6286,0.72628725
35,OSBS_contrib2849,0.49959302
44,OSBS_contrib2808,0.60889584
48,OSBS_contrib6296,0.5278514
1,OSBS_contrib2834,0.64925164
2,OSBS_contrib2836,0.7279091
4,OSBS_contrib6297,0.9905855
40,OSBS_contrib2932,0.49481723
54,OSBS_contrib2908,0.7220772
57,OSBS_contrib2912,0.5237719
1,OSBS_contrib6309,0.62075156
50,OSBS_contrib2985,0.51495546
56,OSBS_contrib2994,0.49369788
61,OSBS_contrib3006,0.55373025
62,OSBS_contrib3007,0.55373025
18,OSBS_contrib7588,0.491597
26,OSBS_contrib3056,0.55833507
42,OSBS_contrib3051,0.7006089
43,OSBS_contrib3060,0.71642464
44,OSBS_contrib6325,0.95242345
33,OSBS_contrib7364,0.54266804
51,OSBS_contrib3166,0.48939538
1,OSBS_contrib6010,0.5743549
18,OSBS_contrib6388,0.9683926
21,OSBS_contrib6394,0.6493348
27,OSBS_contrib3211,0.5132804
37,OSBS_contrib3213,0.74088514
39,OSBS_contrib3217,0.8806799
45,OSBS_contrib6355,0.5903191
46,OSBS_contrib6365,0.50864637
47,OSBS_contrib6366,0.50864637
52,OSBS_contrib6395,0.48772147
62,OSBS_contrib6473,0.8117564
2,OSBS_contrib6433,0.5149781
7,OSBS_contrib3295,0.4955374
8,OSBS_contrib3291,0.66862726
9,OSBS_contrib6456,0.6686317
10,OSBS_contrib3302,0.51560074
24,OSBS_contrib3303,0.49178213
25,OSBS_contrib6449,0.50013816
27,OSBS_contrib3299,0.7528404
30,OSBS_contrib6075,0.5982153
33,OSBS_contrib3289,0.710487
34,OSBS_contrib3294,0.8831048
35,OSBS_contrib3297,0.6721659
36,OSBS_contrib3304,0.67197555
37,OSBS_contrib3307,0.52167237
47,OSBS_contrib6454,0.81625664
51,OSBS_contrib3327,0.7029209
7,OSBS_contrib6493,0.51048726
17,OSBS_contrib6533,0.5034409
19,OSBS_contrib6508,0.5110982
28,OSBS_contrib6482,0.9909595
31,OSBS_contrib6490,0.79842895
35,OSBS_contrib6517,0.9959314
38,OSBS_contrib6523,0.64733464
40,OSBS_contrib6526,0.9744907
41,OSBS_contrib6527,0.8767307
42,OSBS_contrib6528,0.7159609
43,OSBS_contrib6529,0.60254014
44,OSBS_contrib6534,0.9927398
45,OSBS_contrib6535,0.9927398
46,OSBS_contrib6543,0.94440615
47,OSBS_contrib6549,0.5148087
48,OSBS_contrib6553,0.9833129
0,OSBS_contrib3394,0.601665
17,OSBS_contrib6596,0.48751703
23,OSBS_contrib3388,0.5843572
31,OSBS_contrib6600,0.75937957
37,OSBS_contrib3363,0.84872353
39,OSBS_contrib3385,0.8506338
41,OSBS_contrib3397,0.54941785
43,OSBS_contrib6581,0.8088406
44,OSBS_contrib6583,0.80147475
50,OSBS_contrib6614,0.7815126
16,OSBS_contrib6650,0.91567683
20,OSBS_contrib3611,0.48915315
32,OSBS_contrib6658,0.4916152
53,OSBS_contrib6672,0.5092552
54,OSBS_contrib6673,0.5092552
20,OSBS_contrib6680,0.6712591
21,OSBS_contrib6681,0.6712951
22,OSBS_contrib6682,0.5539659
26,OSBS_contrib3638,0.7533641
27,OSBS_contrib3639,0.7496448
30,OSBS_contrib3647,0.5178849
34,OSBS_contrib3660,0.53557485
49,OSBS_contrib6694,0.56796443
57,OSBS_contrib6712,0.5081977
62,OSBS_contrib6727,0.60785824
5,OSBS_contrib6710,0.5038276
8,OSBS_contrib6711,0.6447792
10,OSBS_contrib3717,0.5317689
12,OSBS_contrib6717,0.6795503
14,OSBS_contrib6728,0.49332815
26,OSBS_contrib3762,0.48954698
40,OSBS_contrib3754,0.51572686
42,OSBS_contrib3744,0.49012288
45,OSBS_contrib6731,0.51076555
50,OSBS_contrib3750,0.61500084
61,OSBS_contrib3748,0.5511964
62,OSBS_contrib3749,0.7224335
5,OSBS_contrib6730,0.6755885
7,OSBS_contrib7379,0.52292305
31,OSBS_contrib3786,0.5195421
62,OSBS_contrib3869,0.5904126
2,OSBS_contrib3879,0.96625364
5,OSBS_contrib3876,0.63231355
6,OSBS_contrib3853,0.9843682
7,OSBS_contrib6745,0.5055918
8,OSBS_contrib6746,0.5055918
9,OSBS_contrib6747,0.5055918
10,OSBS_contrib6755,0.91159904
13,OSBS_contrib3844,0.9966184
14,OSBS_contrib3849,0.8863786
15,OSBS_contrib3852,0.95716184
16,OSBS_contrib3878,0.5197345
17,OSBS_contrib6744,0.6055926
18,OSBS_contrib6748,0.9713925
19,OSBS_contrib6749,0.9328644
21,OSBS_contrib6756,0.77202964
23,OSBS_contrib6771,0.8008177
54,OSBS_contrib3925,0.49753615
61,OSBS_contrib3982,0.49374384
7,OSBS_contrib3917,0.6195307
8,OSBS_contrib3919,0.7989013
9,OSBS_contrib3921,0.8217406
20,OSBS_contrib3961,0.52011347
22,OSBS_contrib3974,0.57286453
25,OSBS_contrib6813,0.8000027
30,OSBS_contrib6840,0.70652294
31,OSBS_contrib6841,0.5116479
36,OSBS_contrib6907,0.50821406
43,OSBS_contrib3998,0.4899087
50,OSBS_contrib6871,0.4889704
1,OSBS_contrib6886,0.5317674
4,OSBS_contrib3999,0.6704069
5,OSBS_contrib6864,0.5966728
11,OSBS_contrib4012,0.87398636
12,OSBS_contrib6856,0.97758925
13,OSBS_contrib6857,0.97759
17,OSBS_contrib6870,0.6822191
